ml,fold,mAP,mAP50,mAP75,MAE,RMSE,r,precision,recall,fscore
YOLOV11,fold_1,0.26504552364349365,0.5305147171020508,0.2288205623626709,0.1339285671710968,0.42636334896087646,0.7021859884262085,0.8006230592727661,0.5781777501106262,0.6714565753936768
YOLOV11,fold_2,0.29120782017707825,0.6139251589775085,0.20753730833530426,0.11178571730852127,0.39051249623298645,0.7545299530029297,0.7758186459541321,0.6637930870056152,0.7154471278190613
YOLOV11,fold_3,0.2807270586490631,0.5823833346366882,0.20123296976089478,0.10249999910593033,0.36203789710998535,0.6958740949630737,0.7350901365280151,0.6487147808074951,0.6892067790031433
YOLOV11,fold_4,0.2547575831413269,0.5275562405586243,0.18248045444488525,0.13178572058677673,0.4346591532230377,0.691352367401123,0.8071539402008057,0.5844594836235046,0.6779882311820984
YOLOV11,fold_5,0.285318523645401,0.6070327758789062,0.20570966601371765,0.10107143223285675,0.360059529542923,0.7112026214599609,0.7212499976158142,0.671711266040802,0.6955997347831726
