                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.3325,                0.70819,                 1.0112,                 0.8651,                0.83686,                0.89179,                 0.5169,                 1.4247,                0.69088,                 1.0526,             9.7672e-05,             9.7672e-05,             9.7672e-05
                     51,                 1.3451,                0.71601,                 1.0082,                0.87207,                0.83311,                0.89137,                0.55329,                 1.2699,                 0.6503,                 1.0201,             9.7577e-05,             9.7577e-05,             9.7577e-05
                     52,                 1.3108,                0.69981,                 1.0059,                0.87464,                0.83955,                0.89482,                0.54846,                 1.2987,                0.65422,                 1.0251,              9.748e-05,              9.748e-05,              9.748e-05
                     53,                 1.3341,                0.70885,                 1.0106,                0.86895,                 0.8354,                0.89393,                0.54569,                 1.3084,                 0.6612,                 1.0254,             9.7381e-05,             9.7381e-05,             9.7381e-05
                     54,                 1.3227,                0.70105,                 1.0108,                0.86879,                0.83899,                0.89098,                0.56106,                 1.2447,                0.64474,                 1.0162,             9.7281e-05,             9.7281e-05,             9.7281e-05
                     55,                 1.3016,                0.69403,                 1.0085,                0.86684,                0.83516,                0.88834,                0.56074,                 1.2278,                 0.6405,                 1.0151,             9.7178e-05,             9.7178e-05,             9.7178e-05
                     56,                 1.2983,                0.69199,                 1.0023,                0.86868,                0.83435,                0.89024,                0.55776,                 1.2486,                0.64067,                  1.018,             9.7074e-05,             9.7074e-05,             9.7074e-05
                     57,                 1.2886,                0.68447,                 1.0004,                0.87102,                0.83488,                0.89182,                0.55575,                  1.257,                0.64361,                 1.0192,             9.6967e-05,             9.6967e-05,             9.6967e-05
                     58,                 1.3313,                0.70168,                 1.0084,                0.87262,                0.83637,                0.89594,                0.55018,                  1.303,                0.65131,                 1.0235,             9.6859e-05,             9.6859e-05,             9.6859e-05
                     59,                 1.3098,                0.69547,                 1.0033,                0.86913,                0.83417,                0.88959,                0.56536,                 1.2319,                0.63288,                 1.0158,             9.6749e-05,             9.6749e-05,             9.6749e-05
                     60,                  1.321,                0.70231,                 1.0099,                 0.8677,                0.82959,                0.88717,                0.56586,                 1.2183,                0.63324,                 1.0145,             9.6638e-05,             9.6638e-05,             9.6638e-05
                     61,                 1.3098,                0.68994,                 1.0041,                0.87592,                0.84032,                0.89669,                 0.5533,                 1.2822,                0.64755,                 1.0211,             9.6524e-05,             9.6524e-05,             9.6524e-05
                     62,                 1.3216,                0.69715,                 1.0063,                0.87729,                0.83699,                0.89667,                0.55249,                 1.3079,                0.64767,                  1.024,             9.6409e-05,             9.6409e-05,             9.6409e-05
                     63,                 1.3021,                0.68955,                 1.0031,                0.87885,                 0.8332,                0.89522,                0.55622,                 1.2797,                0.64045,                 1.0208,             9.6291e-05,             9.6291e-05,             9.6291e-05
                     64,                 1.2914,                0.68061,                0.99804,                0.87638,                0.83581,                 0.8974,                 0.5556,                 1.2776,                0.63879,                 1.0198,             9.6172e-05,             9.6172e-05,             9.6172e-05
                     65,                  1.309,                0.68808,                 1.0111,                0.87794,                0.83529,                0.89795,                0.53043,                 1.3949,                0.66517,                 1.0442,             9.6051e-05,             9.6051e-05,             9.6051e-05
                     66,                 1.3214,                0.69208,                 1.0031,                0.86827,                0.84275,                0.89334,                0.56193,                   1.25,                0.63286,                 1.0152,             9.5929e-05,             9.5929e-05,             9.5929e-05
                     67,                 1.2999,                0.68535,                 1.0034,                0.87641,                0.83162,                0.89169,                0.56482,                 1.2385,                0.63055,                 1.0148,             9.5804e-05,             9.5804e-05,             9.5804e-05
                     68,                 1.3026,                0.68825,                 1.0085,                0.87454,                0.83717,                0.89662,                 0.5516,                 1.2925,                0.63974,                 1.0228,             9.5678e-05,             9.5678e-05,             9.5678e-05
                     69,                   1.31,                0.68545,                 1.0087,                0.87676,                0.83629,                0.89716,                0.55973,                 1.2662,                 0.6367,                 1.0175,              9.555e-05,              9.555e-05,              9.555e-05
                     70,                 1.3052,                0.68756,                 1.0012,                0.87814,                0.83373,                0.89591,                0.55799,                 1.2655,                0.63649,                  1.018,              9.542e-05,              9.542e-05,              9.542e-05
