                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.7417,                0.83195,                 1.2608,                0.85159,                 0.7947,                0.83682,                0.33405,                 2.0752,                0.84869,                 1.5105,              9.975e-05,              9.975e-05,              9.975e-05
                     34,                 1.7079,                0.81823,                 1.2588,                0.83791,                0.80013,                 0.8324,                0.33759,                 2.0404,                0.87948,                 1.5026,             9.9734e-05,             9.9734e-05,             9.9734e-05
                     35,                  1.725,                0.81723,                 1.2781,                0.85175,                 0.8113,                0.83996,                 0.3427,                 2.0407,                0.84953,                 1.5174,             9.9718e-05,             9.9718e-05,             9.9718e-05
                     36,                 1.7217,                0.81403,                 1.2681,                0.85363,                0.80923,                0.85129,                0.34431,                 2.0076,                0.85783,                  1.471,             9.9701e-05,             9.9701e-05,             9.9701e-05
                     37,                 1.7055,                0.79691,                 1.2679,                0.82755,                0.80244,                0.81322,                0.32255,                 2.0983,                0.86814,                 1.5737,             9.9684e-05,             9.9684e-05,             9.9684e-05
                     38,                 1.6941,                0.78825,                 1.2726,                0.85553,                0.78799,                0.82971,                0.34246,                 2.0533,                0.84584,                 1.5206,             9.9666e-05,             9.9666e-05,             9.9666e-05
                     39,                 1.6611,                0.76766,                 1.2374,                0.83602,                0.80177,                0.83342,                 0.3357,                 2.0526,                0.87565,                 1.5256,             9.9648e-05,             9.9648e-05,             9.9648e-05
                     40,                 1.6785,                0.77253,                 1.2568,                0.86047,                0.78751,                0.83848,                0.34022,                 2.0718,                 0.8566,                 1.5121,             9.9629e-05,             9.9629e-05,             9.9629e-05
                     41,                 1.6959,                 0.7717,                 1.2639,                0.85449,                 0.8053,                  0.838,                0.32863,                 2.1212,                0.80708,                 1.6049,              9.961e-05,              9.961e-05,              9.961e-05
                     42,                 1.6812,                0.76769,                 1.2533,                0.84732,                0.81466,                0.84007,                0.33484,                 2.0842,                0.80571,                 1.5486,              9.959e-05,              9.959e-05,              9.959e-05
                     43,                 1.6521,                0.74881,                 1.2391,                0.85026,                0.80448,                0.83346,                0.33705,                 2.0743,                0.84029,                 1.5485,              9.957e-05,              9.957e-05,              9.957e-05
                     44,                 1.6447,                 0.7507,                 1.2393,                0.86448,                0.79701,                0.83588,                0.34619,                 2.0742,                0.83565,                 1.5458,             9.9549e-05,             9.9549e-05,             9.9549e-05
                     45,                 1.6448,                0.74887,                 1.2325,                0.85054,                0.81399,                0.84155,                0.33749,                 2.0836,                0.83837,                  1.547,             9.9528e-05,             9.9528e-05,             9.9528e-05
                     46,                   1.64,                0.75229,                  1.227,                0.84216,                0.80177,                0.83565,                0.33503,                 2.0974,                  0.863,                 1.5419,             9.9506e-05,             9.9506e-05,             9.9506e-05
                     47,                 1.6426,                0.75285,                 1.2433,                0.85002,                0.79643,                0.82765,                0.33302,                 2.1046,                 0.8125,                 1.5628,             9.9484e-05,             9.9484e-05,             9.9484e-05
                     48,                 1.6288,                0.73581,                 1.2241,                 0.8635,                0.79022,                0.83742,                0.33575,                 2.0891,                0.82327,                 1.5556,             9.9461e-05,             9.9461e-05,             9.9461e-05
                     49,                 1.6158,                0.72324,                 1.2219,                0.84939,                0.80923,                0.83502,                0.34307,                 2.0806,                0.81956,                 1.5645,             9.9438e-05,             9.9438e-05,             9.9438e-05
